Amount_Requested,Application_Date,Loan_Title,Risk_Score,Debt-To-Income_Ratio,Zip_Code,State,Employment_Length,Policy_Code,RiskScoreMA50
1000.0,2007-05-26,Wedding Covered but No Honeymoon,693.0,10%,481xx,NM,4 years,0.0,693.0
1000.0,2007-05-26,Consolidating Debt,703.0,10%,010xx,MA,< 1 year,0.0,698.0
11000.0,2007-05-27,Want to consolidate my debt,715.0,10%,212xx,MD,1 year,0.0,715.0
6000.0,2007-05-27,waksman,698.0,38.64%,017xx,MA,< 1 year,0.0,706.5
1500.0,2007-05-27,mdrigo,509.0,9.43%,209xx,MD,< 1 year,0.0,640.6666666666666
15000.0,2007-05-27,Trinfiniti,645.0,0%,105xx,NY,3 years,0.0,641.75
10000.0,2007-05-27,NOTIFYi Inc,693.0,10%,210xx,MD,< 1 year,0.0,652.0
3900.0,2007-05-27,For Justin.,700.0,10%,469xx,IN,2 years,0.0,660.0
3000.0,2007-05-28,title?,694.0,10%,808xx,CO,4 years,0.0,694.0
2500.0,2007-05-28,timgerst,573.0,11.76%,407xx,KY,4 years,0.0,633.5
3900.0,2007-05-28,need to consolidate,710.0,10%,705xx,LA,10+ years,0.0,659.0
1000.0,2007-05-28,sixstrings,680.0,10%,424xx,KY,1 year,0.0,664.25
3000.0,2007-05-28,bmoore5110,688.0,10%,190xx,PA,< 1 year,0.0,669.0
1500.0,2007-05-28,MHarkins,704.0,10%,189xx,PA,3 years,0.0,674.8333333333334
1000.0,2007-05-28,Moving,694.0,10%,354xx,AL,< 1 year,0.0,677.5714285714286
8000.0,2007-05-28,Recent College Grad Wants to Pay Off CCs,708.0,10%,374xx,TN,< 1 year,0.0,681.375
12000.0,2007-05-29,FoundersCafe.com,685.0,10%,770xx,TX,3 years,0.0,685.0
1000.0,2007-05-29,UChicago2004,698.0,10%,207xx,MD,3 years,0.0,691.5
15000.0,2007-05-29,Cancer is Killing My Credit,680.0,10%,432xx,OH,< 1 year,0.0,687.6666666666666
5000.0,2007-05-29,2006-2007 College Debt Loan,680.0,10%,011xx,MA,< 1 year,0.0,685.75
15000.0,2007-05-29,twbmc,712.0,10%,773xx,TX,< 1 year,0.0,691.0
5000.0,2007-05-29,Bills & Vacation,704.0,10%,212xx,MD,1 year,0.0,693.1666666666666
4950.0,2007-05-29,Vehicle Purchase/Used Auto,693.0,10%,220xx,VA,2 years,0.0,693.1428571428571
6100.0,2007-05-29,thejanman,684.0,24.69%,453xx,OH,2 years,0.0,692.0
12000.0,2007-05-29,Finish Off College,704.0,10%,462xx,IN,2 years,0.0,693.3333333333334
25000.0,2007-05-29,Phuocpnn,686.0,10%,631xx,MO,< 1 year,0.0,692.6
15000.0,2007-05-29,Established borrower consolodating debt,698.0,15.56%,559xx,MN,< 1 year,0.0,693.0909090909091
5000.0,2007-05-29,mainmanandy,719.0,10%,457xx,OH,< 1 year,0.0,695.25
10000.0,2007-05-30,Jaguar10301,602.0,2.25%,221xx,VA,< 1 year,0.0,602.0
10000.0,2007-05-30,rpinho78,475.0,21.77%,061xx,CT,< 1 year,0.0,538.5
1000.0,2007-05-30,ashtru,695.0,0%,443xx,OH,< 1 year,0.0,590.6666666666666
4000.0,2007-05-30,sparks,671.0,36.8%,630xx,MO,< 1 year,0.0,610.75
7000.0,2007-05-30,big fat lender,638.0,17.73%,941xx,CA,< 1 year,0.0,616.2
25000.0,2007-05-30,toeeeekne,671.0,4.5%,483xx,FL,2 years,0.0,625.3333333333334
1000.0,2007-05-30,stnthoma22,429.0,15.92%,462xx,IN,2 years,0.0,597.2857142857143
6500.0,2007-05-30,natbunn,632.0,12.98%,773xx,TX,< 1 year,0.0,601.625
2000.0,2007-05-30,SGearhart1381,579.0,32.64%,658xx,MO,< 1 year,0.0,599.1111111111111
15000.0,2007-05-30,2dozen,474.0,1.55%,453xx,OH,4 years,0.0,586.6
6000.0,2007-05-30,Good Heart Bad Credit!,463.0,12.34%,953xx,CA,1 year,0.0,575.3636363636364
2500.0,2007-05-31,mbcoon,593.0,18.43%,790xx,TX,1 year,0.0,593.0
12500.0,2007-05-31,boardwalk,578.0,31.82%,775xx,TX,9 years,0.0,585.5
3000.0,2007-05-31,danthe83,536.0,0%,551xx,MN,< 1 year,0.0,569.0
7500.0,2007-05-31,maryk2001,524.0,61.47%,316xx,GA,5 years,0.0,557.75
5000.0,2007-05-31,ppatti113,520.0,8.93%,024xx,MA,1 year,0.0,550.2
5000.0,2007-05-31,spidermonkey07,0.0,6%,448xx,OH,< 1 year,0.0,458.5
4000.0,2007-05-31,brock1jd,658.0,43.8%,480xx,MN,< 1 year,0.0,487.0
1000.0,2007-05-31,jprice1542,0.0,4.61%,373xx,TN,< 1 year,0.0,426.125
5000.0,2007-05-31,mashowar,492.0,15.73%,474xx,IN,4 years,0.0,433.44444444444446
1000.0,2007-05-31,jaynesweet,581.0,28.04%,681xx,NE,2 years,0.0,448.2
1000.0,2007-06-01,memorial,543.0,41.35%,328xx,FL,2 years,0.0,543.0
6025.0,2007-06-01,Fleurdetragedie,660.0,69.84%,301xx,GA,2 years,0.0,601.5
10000.0,2007-06-01,jfirson,503.0,61.07%,668xx,KS,1 year,0.0,568.6666666666666
3000.0,2007-06-01,cdc,556.0,20.91%,786xx,TX,1 year,0.0,565.5
10000.0,2007-06-01,katiemass,480.0,8.7%,452xx,OH,1 year,0.0,548.4
2100.0,2007-06-01,A clean sweep before buying a new house,684.0,10%,208xx,MD,1 year,0.0,571.0
5000.0,2007-06-01,kennysack,592.0,53.76%,477xx,IN,< 1 year,0.0,574.0
10000.0,2007-06-01,dreamerabove,600.0,3.84%,021xx,MA,< 1 year,0.0,577.25
1200.0,2007-06-01,jflack,524.0,0%,720xx,AR,4 years,0.0,571.3333333333334
4000.0,2007-06-01,ceodiva,460.0,0%,302xx,GA,< 1 year,0.0,560.2
15000.0,2007-06-01,joelforeman,654.0,27.48%,328xx,FL,2 years,0.0,568.7272727272727
1000.0,2007-06-01,auburnmk23,486.0,12.4%,368xx,AL,< 1 year,0.0,561.8333333333334
2500.0,2007-06-01,Scott Stowe,520.0,13.1%,460xx,IN,1 year,0.0,558.6153846153846
5000.0,2007-06-01,iamheatherleigh,0.0,0%,405xx,KY,5 years,0.0,518.7142857142857
2500.0,2007-06-01,Paying for college,547.0,29.16%,331xx,FL,< 1 year,0.0,520.6
1000.0,2007-06-01,alivrum,454.0,7.68%,434xx,OH,< 1 year,0.0,516.4375
5000.0,2007-06-02,wbnd44,509.0,20%,436xx,OH,1 year,0.0,509.0
5000.0,2007-06-02,skyydogg,0.0,0%,535xx,WI,1 year,0.0,254.5
1500.0,2007-06-02,Svengar7,665.0,0%,191xx,PA,< 1 year,0.0,391.3333333333333
1000.0,2007-06-02,sopinksolovely,454.0,11.12%,113xx,NY,2 years,0.0,407.0
1000.0,2007-06-02,angelbabe,561.0,1.07%,104xx,NY,< 1 year,0.0,437.8
8000.0,2007-06-02,K9Genetics,565.0,11.67%,852xx,AZ,1 year,0.0,459.0
3500.0,2007-06-02,zminer,479.0,1.73%,805xx,CO,< 1 year,0.0,461.85714285714283
2500.0,2007-06-02,moecheeks21,444.0,0%,674xx,KS,< 1 year,0.0,459.625
25000.0,2007-06-02,Lilly,549.0,20.06%,852xx,AZ,4 years,0.0,469.55555555555554
4500.0,2007-06-02,QuisyFBaby,599.0,16.8%,212xx,MD,< 1 year,0.0,482.5
2000.0,2007-06-03,thesassaman,650.0,0%,980xx,WA,< 1 year,0.0,650.0
10000.0,2007-06-03,regan117,607.0,23.1%,182xx,PA,1 year,0.0,628.5
3500.0,2007-06-03,manx203,0.0,0%,151xx,PA,< 1 year,0.0,419.0
5000.0,2007-06-03,eswist,419.0,3.48%,773xx,TX,1 year,0.0,419.0
11000.0,2007-06-03,Consolidate Prosper,758.0,37.3%,972xx,OR,1 year,0.0,486.8
1500.0,2007-06-03,matt12amazing,504.0,27.45%,660xx,KS,< 1 year,0.0,489.6666666666667
1500.0,2007-06-04,dEs,711.0,58.8%,303xx,GA,1 year,0.0,711.0
1000.0,2007-06-04,I'm trying to repair my credit by paying off some old debts.,530.0,8.51%,722xx,AR,< 1 year,0.0,620.5
7000.0,2007-06-04,jd2427,473.0,23.96%,300xx,GA,< 1 year,0.0,571.3333333333334
25000.0,2007-06-04,Annieb6283,606.0,4.9%,191xx,PA,< 1 year,0.0,580.0
10000.0,2007-06-04,LenaPresley,502.0,0%,282xx,NC,< 1 year,0.0,564.4
4000.0,2007-06-04,bhissam,497.0,9.87%,261xx,WV,1 year,0.0,553.1666666666666
2500.0,2007-06-04,Jonelle's Study Abroad,709.0,10%,112xx,NY,< 1 year,0.0,575.4285714285714
3000.0,2007-06-04,belle54304,412.0,20.01%,543xx,WI,1 year,0.0,555.0
1000.0,2007-06-04,KB143,506.0,13.01%,372xx,TN,3 years,0.0,549.5555555555555
7500.0,2007-06-04,fsallustio,472.0,14.36%,021xx,MA,7 years,0.0,541.8
2000.0,2007-06-04,mlishuslymotvatd,507.0,0%,137xx,NY,< 1 year,0.0,538.6363636363636
1000.0,2007-06-04,Gballgamer,567.0,16.58%,805xx,CO,< 1 year,0.0,541.0
1100.0,2007-06-04,MATTHEW,551.0,0.72%,334xx,FL,4 years,0.0,541.7692307692307
3000.0,2007-06-04,saxman6160,0.0,4.05%,800xx,CO,< 1 year,0.0,503.07142857142856
1000.0,2007-06-05,queenlurline,0.0,0.86%,846xx,UT,< 1 year,0.0,0.0
7000.0,2007-06-05,chrisw1025,607.0,39.79%,278xx,NC,2 years,0.0,303.5
1000.0,2007-06-05,ErikBell,0.0,6.55%,800xx,CO,4 years,0.0,202.33333333333334
5000.0,2007-06-05,baileykearns,552.0,1.6%,450xx,OH,2 years,0.0,289.75
1300.0,2007-06-05,kimbbarr,643.0,22.5%,085xx,NJ,2 years,0.0,360.4
500.0,2007-06-05,Kiana_Noelle,547.0,18.52%,207xx,MD,4 years,0.0,391.5
1000.0,2007-06-05,Raistlan,647.0,7.21%,980xx,WA,7 years,0.0,428.0
1000.0,2007-06-05,chynadoll3586,531.0,493.6%,480xx,AL,1 year,0.0,440.875
3000.0,2007-06-06,Keith24601,612.0,6.72%,081xx,NJ,< 1 year,0.0,612.0
2000.0,2007-06-06,nicole38,656.0,5.51%,212xx,MD,1 year,0.0,634.0
5000.0,2007-06-06,Butterfly,528.0,18.4%,236xx,VA,2 years,0.0,598.6666666666666
2000.0,2007-06-06,speedy079,558.0,10.85%,085xx,NJ,5 years,0.0,588.5
10000.0,2007-06-06,demarishargett,461.0,14.76%,283xx,NC,3 years,0.0,563.0
6700.0,2007-06-06,LoveLearn,522.0,4.17%,302xx,GA,2 years,0.0,556.1666666666666
20000.0,2007-06-06,Back To School,690.0,0.4%,079xx,NJ,< 1 year,0.0,575.2857142857143
3400.0,2007-06-06,scooterodell,559.0,24.36%,145xx,NY,9 years,0.0,573.25
5000.0,2007-06-06,crazymacguy,633.0,13.03%,539xx,WI,< 1 year,0.0,579.8888888888889
8000.0,2007-06-06,TheresaF,481.0,12.21%,441xx,OH,< 1 year,0.0,570.0
6000.0,2007-06-07,tjudith,679.0,26.07%,232xx,VA,< 1 year,0.0,679.0
5000.0,2007-06-08,1OTH-MOUNTAIN-MAN,494.0,5.86%,136xx,NY,< 1 year,0.0,494.0
9500.0,2007-06-08,moneywise,582.0,1.47%,998xx,AK,1 year,0.0,538.0
3500.0,2007-06-08,tmsworld,583.0,3.12%,100xx,NY,< 1 year,0.0,553.0
1500.0,2007-06-08,Sapphieangel008,468.0,3.98%,452xx,OH,< 1 year,0.0,531.75
10000.0,2007-06-08,FSUgirl,565.0,6.48%,323xx,FL,< 1 year,0.0,538.4
10000.0,2007-06-08,GRNGLD08,576.0,46.15%,233xx,VA,< 1 year,0.0,544.6666666666666
800.0,2007-06-08,mozizzle86,696.0,24%,112xx,NY,< 1 year,0.0,566.2857142857143
10000.0,2007-06-08,brianmikalw,559.0,0%,136xx,NY,< 1 year,0.0,565.375
5000.0,2007-06-08,thephotoguy.seth,545.0,10.18%,337xx,TN,< 1 year,0.0,563.1111111111111
6000.0,2007-06-08,Chase,602.0,2.36%,354xx,AL,< 1 year,0.0,567.0
1000.0,2007-06-08,sgeorges86,626.0,3%,292xx,SC,< 1 year,0.0,572.3636363636364
1000.0,2007-06-08,meep737,640.0,5.51%,430xx,OH,1 year,0.0,578.0
15000.0,2007-06-09,laurel,528.0,34.27%,136xx,NY,< 1 year,0.0,528.0
2500.0,2007-06-09,kyrstyn,509.0,14.16%,171xx,PA,< 1 year,0.0,518.5
16000.0,2007-06-09,Eagle8XC Tuition loan,667.0,22.98%,056xx,VT,1 year,0.0,568.0
2000.0,2007-06-09,Emmyboo0569,607.0,6.91%,238xx,VA,1 year,0.0,577.75
4000.0,2007-06-09,jweme,609.0,14.5%,328xx,FL,< 1 year,0.0,584.0
2000.0,2007-06-09,Bizounce,450.0,14.34%,554xx,MN,< 1 year,0.0,561.6666666666666
3000.0,2007-06-09,lmhsfan,"",9.26%,805xx,CO,< 1 year,0.0,561.6666666666666
6000.0,2007-06-09,Chuck Ave,492.0,12%,641xx,MO,< 1 year,0.0,551.7142857142857
2500.0,2007-06-10,RebelGrad07,549.0,21.94%,388xx,MS,7 years,0.0,549.0
3000.0,2007-06-10,mtalty,481.0,60.11%,462xx,IN,3 years,0.0,515.0
6000.0,2007-06-10,brint,716.0,4042.11%,752xx,TX,< 1 year,0.0,582.0
17000.0,2007-06-10,Consolidating credit cards,653.0,5.96%,212xx,MD,4 years,0.0,599.75
5000.0,2007-06-10,jedurs,621.0,2.6%,231xx,VA,< 1 year,0.0,604.0
7500.0,2007-06-10,Charles,629.0,45.95%,322xx,FL,6 years,0.0,608.1666666666666
15000.0,2007-06-11,vervec,615.0,15%,024xx,MA,8 years,0.0,615.0
4000.0,2007-06-11,Debt Consolidation,608.0,0%,558xx,MN,< 1 year,0.0,611.5
4000.0,2007-06-11,Nickolae3,628.0,6.36%,403xx,KY,< 1 year,0.0,617.0
1000.0,2007-06-11,Alison,585.0,24%,803xx,CO,< 1 year,0.0,609.0
1500.0,2007-06-11,jaja9487,493.0,6.4%,457xx,OH,1 year,0.0,585.8
6500.0,2007-06-11,Sammy,512.0,1.84%,021xx,MA,9 years,0.0,573.5
5000.0,2007-06-11,Mattd,598.0,24.7%,300xx,GA,1 year,0.0,577.0
4000.0,2007-06-11,mattwalker,490.0,36.92%,235xx,VA,4 years,0.0,566.125
1500.0,2007-06-11,nfields1,588.0,9.23%,395xx,MS,< 1 year,0.0,568.5555555555555
1000.0,2007-06-11,luckyspirit,612.0,36.7%,658xx,MO,1 year,0.0,572.9
10000.0,2007-06-12,ali82fla,503.0,17.3%,336xx,FL,2 years,0.0,503.0
6000.0,2007-06-12,dirtbag05,454.0,21.6%,240xx,VA,< 1 year,0.0,478.5
25000.0,2007-06-12,peytongunn,512.0,0.77%,287xx,NC,< 1 year,0.0,489.6666666666667
10000.0,2007-06-12,ejsejsejs,0.0,0%,641xx,MO,1 year,0.0,367.25
4975.0,2007-06-12,triple007,523.0,1.84%,302xx,GA,8 years,0.0,398.4
25000.0,2007-06-12,Friend in need,557.0,18.83%,463xx,IN,1 year,0.0,424.8333333333333
5000.0,2007-06-12,B_lucas,530.0,0%,191xx,PA,< 1 year,0.0,439.85714285714283
15000.0,2007-06-12,Oldhouserenovator,576.0,17.06%,014xx,MA,2 years,0.0,456.875
3000.0,2007-06-12,keep0njeepin0n,548.0,17.74%,299xx,SC,4 years,0.0,467.0
3000.0,2007-06-12,arod76,497.0,10.59%,292xx,SC,3 years,0.0,470.0
12000.0,2007-06-12,Tony_Texan,"",100%,802xx,CO,< 1 year,0.0,470.0
14000.0,2007-06-13,enturio,693.0,27.98%,112xx,NY,3 years,0.0,693.0
25000.0,2007-06-13,AdamDJohnson,0.0,0%,773xx,TX,4 years,0.0,346.5
1000.0,2007-06-13,PackAttack25,489.0,0%,283xx,NC,< 1 year,0.0,394.0
11000.0,2007-06-13,jar73186,0.0,0.75%,660xx,KS,1 year,0.0,295.5
1000.0,2007-06-13,iamjames,535.0,4.68%,630xx,MO,2 years,0.0,343.4
5000.0,2007-06-14,Hotspitta4life,557.0,9.6%,125xx,NY,< 1 year,0.0,557.0
5000.0,2007-06-14,SadRobot,639.0,1.32%,981xx,WA,4 years,0.0,598.0
3000.0,2007-06-14,Debonair,478.0,48.24%,984xx,WA,1 year,0.0,558.0
1000.0,2007-06-14,jessicavk,736.0,25.64%,462xx,IN,2 years,0.0,602.5
4000.0,2007-06-14,Chris Anthony,640.0,48.6%,473xx,IN,4 years,0.0,610.0
12000.0,2007-06-14,Responsible34,536.0,10.15%,752xx,TX,< 1 year,0.0,597.6666666666666
2000.0,2007-06-14,lizoplex,549.0,27.94%,372xx,TN,< 1 year,0.0,590.7142857142857
2500.0,2007-06-15,kmdones,454.0,15.07%,206xx,MD,< 1 year,0.0,454.0
2000.0,2007-06-15,evolution333,522.0,0%,278xx,NC,< 1 year,0.0,488.0
7000.0,2007-06-15,ctg5ny,533.0,136.56%,306xx,GA,2 years,0.0,503.0
15000.0,2007-06-15,Tumalu,635.0,18.91%,750xx,TX,1 year,0.0,536.0
5000.0,2007-06-15,MizzDavis,631.0,20.64%,432xx,OH,1 year,0.0,555.0
2500.0,2007-06-15,djdecibal,475.0,42.55%,557xx,MN,1 year,0.0,541.6666666666666
2000.0,2007-06-15,bleitheiser,445.0,0%,532xx,WI,< 1 year,0.0,527.8571428571429
5000.0,2007-06-15,I need to refinance credit card debt that I got paying some legal fees,700.0,16.05%,774xx,TX,< 1 year,0.0,549.375
3000.0,2007-06-15,Selly,590.0,12.6%,257xx,WV,2 years,0.0,553.8888888888889
2500.0,2007-06-15,Lady_Neasha,0.0,8.67%,631xx,MO,1 year,0.0,498.5
25000.0,2007-06-16,emy,494.0,0%,331xx,FL,7 years,0.0,494.0
22000.0,2007-06-16,Stomping,645.0,37.09%,197xx,DE,2 years,0.0,569.5
2500.0,2007-06-17,trenee02,619.0,3%,372xx,TN,< 1 year,0.0,619.0
2000.0,2007-06-17,jackie1625,628.0,10.45%,431xx,OH,1 year,0.0,623.5
15000.0,2007-06-17,TDudai4,512.0,20.57%,325xx,FL,10+ years,0.0,586.3333333333334
5000.0,2007-06-17,levi,611.0,14.28%,652xx,MO,< 1 year,0.0,592.5
15000.0,2007-06-17,jfernando1,652.0,28.33%,328xx,FL,3 years,0.0,604.4
5000.0,2007-06-17,Stacked186,585.0,1.8%,148xx,NY,< 1 year,0.0,601.1666666666666
9000.0,2007-06-17,RKurth34,537.0,37.4%,991xx,WA,3 years,0.0,592.0
1000.0,2007-06-17,mansplace,525.0,8.36%,706xx,LA,< 1 year,0.0,583.625
3000.0,2007-06-17,AWoodard,560.0,4.8%,644xx,MO,1 year,0.0,581.0
1000.0,2007-06-18,young1jay,590.0,13.5%,067xx,CT,< 1 year,0.0,590.0
1500.0,2007-06-18,chrislee4life,470.0,4.44%,991xx,WA,4 years,0.0,530.0
10000.0,2007-06-18,topdog1203,490.0,4.02%,537xx,WI,2 years,0.0,516.6666666666666
10000.0,2007-06-18,hungwilfredo,693.0,31.65%,333xx,FL,3 years,0.0,560.75
3000.0,2007-06-18,jaj0165,634.0,17.93%,354xx,AL,10+ years,0.0,575.4
17000.0,2007-06-18,caterik,628.0,22.76%,481xx,MI,< 1 year,0.0,584.1666666666666
1000.0,2007-06-18,smollieolliepop,603.0,9.95%,760xx,TX,< 1 year,0.0,586.8571428571429
7000.0,2007-06-18,Mom wants to get rid of credit card,532.0,4.02%,508xx,IA,7 years,0.0,580.0
3000.0,2007-06-18,whyte_smoke_187,569.0,10.04%,703xx,LA,1 year,0.0,578.7777777777778
1000.0,2007-06-19,December Purchases & Christmas Shopping,628.0,7.8%,010xx,MA,< 1 year,0.0,628.0
10000.0,2007-06-19,Jay,605.0,28.46%,220xx,VA,1 year,0.0,616.5
4000.0,2007-06-19,ThePegLeg,"",100%,796xx,TX,< 1 year,0.0,616.5
5000.0,2007-06-19,Dbrow113,544.0,32.64%,300xx,GA,2 years,0.0,592.3333333333334
1800.0,2007-06-19,ffadahunsi,516.0,9.33%,112xx,NY,< 1 year,0.0,573.25
10000.0,2007-06-19,strehlj,633.0,11.06%,336xx,FL,3 years,0.0,585.2
25000.0,2007-06-19,Tasia_Audre,483.0,9.26%,276xx,NC,< 1 year,0.0,568.1666666666666
5200.0,2007-06-19,jags1677,651.0,27.04%,605xx,IL,< 1 year,0.0,580.0
5000.0,2007-06-19,Vetri,604.0,26.5%,132xx,NY,1 year,0.0,583.0
2150.0,2007-06-19,KapSig,455.0,13.52%,532xx,WI,1 year,0.0,568.7777777777778
5000.0,2007-06-19,christinam84,594.0,0%,127xx,NY,1 year,0.0,571.3
23000.0,2007-06-19,Trying to consolidate debt,651.0,11.27%,984xx,WA,1 year,0.0,578.5454545454545
25000.0,2007-06-19,JoeMattie,642.0,41.64%,997xx,AK,1 year,0.0,583.8333333333334
2000.0,2007-06-19,Jlb7557,529.0,27.01%,925xx,CA,1 year,0.0,579.6153846153846
5000.0,2007-06-19,Nerdular,617.0,6.17%,982xx,UT,< 1 year,0.0,582.2857142857143
5000.0,2007-06-20,clogteachr,647.0,19.75%,482xx,MI,8 years,0.0,647.0
25000.0,2007-06-20,ajo,589.0,5.74%,560xx,MN,2 years,0.0,618.0
3000.0,2007-06-20,JoelBacon,683.0,4.69%,481xx,OH,2 years,0.0,639.6666666666666
5000.0,2007-06-20,Looking for some help to pay healthcare,508.0,11.1%,115xx,NY,3 years,0.0,606.75
5000.0,2007-06-20,drulover4eva2000,564.0,24.6%,212xx,MD,10+ years,0.0,598.2
1000.0,2007-06-20,drsray55,561.0,67.14%,257xx,WV,2 years,0.0,592.0
